Mortgage monthly repayments,dollars,%,Suburb
Households where mortgage repayments are less than 30% of household income,--,95.0,Fulham
Households with mortgage repayments greater than 30% of household income,--,5.0,Fulham
Median mortgage repayments,"1,660",--,Lockleys
Households where mortgage repayments are less than 30% of household income,--,94.0,Lockleys
Households with mortgage repayments greater than 30% of household income,--,6.0,Lockleys
Median mortgage repayments,"1,625",--,Plympton
Households where mortgage repayments are less than 30% of household income,--,94.5,Plympton
Households with mortgage repayments greater than 30% of household income,--,5.5,Plympton
Median mortgage repayments,"1,733",--,Richmond (SA)
Households where mortgage repayments are less than 30% of household income,--,94.6,Richmond (SA)
Households with mortgage repayments greater than 30% of household income,--,5.4,Richmond (SA)
Median mortgage repayments,"1,950",--,West Beach
Households where mortgage repayments are less than 30% of household income,--,94.9,West Beach
Households with mortgage repayments greater than 30% of household income,--,5.1,West Beach
Median mortgage repayments,"1,408",--,Barossa - Angaston
Households where mortgage repayments are less than 30% of household income,--,91.2,Barossa - Angaston
Households with mortgage repayments greater than 30% of household income,--,8.8,Barossa - Angaston
Median mortgage repayments,"1,300",--,Light
Households where mortgage repayments are less than 30% of household income,--,91.1,Light
Households with mortgage repayments greater than 30% of household income,--,8.9,Light
Median mortgage repayments,"1,517",--,Lyndoch
Households where mortgage repayments are less than 30% of household income,--,91.6,Lyndoch
Households with mortgage repayments greater than 30% of household income,--,8.4,Lyndoch
Median mortgage repayments,"1,192",--,Mallala
Households where mortgage repayments are less than 30% of household income,--,90.3,Mallala
Households with mortgage repayments greater than 30% of household income,--,9.7,Mallala
Median mortgage repayments,"1,408",--,Nuriootpa
Households where mortgage repayments are less than 30% of household income,--,95.0,Nuriootpa
Households with mortgage repayments greater than 30% of household income,--,5.0,Nuriootpa
Median mortgage repayments,"1,408",--,Tanunda
Households where mortgage repayments are less than 30% of household income,--,96.1,Tanunda
Households with mortgage repayments greater than 30% of household income,--,3.9,Tanunda
Median mortgage repayments,"1,300",--,Clare
Households where mortgage repayments are less than 30% of household income,--,94.3,Clare
Households with mortgage repayments greater than 30% of household income,--,5.7,Clare
Median mortgage repayments,"1,170",--,Gilbert Valley
Households where mortgage repayments are less than 30% of household income,--,93.9,Gilbert Valley
Households with mortgage repayments greater than 30% of household income,--,6.1,Gilbert Valley
Median mortgage repayments,867,--,Goyder
Households where mortgage repayments are less than 30% of household income,--,95.6,Goyder
Households with mortgage repayments greater than 30% of household income,--,4.4,Goyder
Median mortgage repayments,910,--,Wakefield - Barunga West
Households where mortgage repayments are less than 30% of household income,--,94.4,Wakefield - Barunga West
Households with mortgage repayments greater than 30% of household income,--,5.6,Wakefield - Barunga West
Median mortgage repayments,867,--,Jamestown
Households where mortgage repayments are less than 30% of household income,--,96.4,Jamestown
Households with mortgage repayments greater than 30% of household income,--,3.6,Jamestown
Median mortgage repayments,740,--,Peterborough - Mount Remarkable
Households where mortgage repayments are less than 30% of household income,--,96.3,Peterborough - Mount Remarkable
Households with mortgage repayments greater than 30% of household income,--,3.7,Peterborough - Mount Remarkable
Median mortgage repayments,"1,000",--,Port Pirie
Households where mortgage repayments are less than 30% of household income,--,95.6,Port Pirie
Households with mortgage repayments greater than 30% of household income,--,4.4,Port Pirie
Median mortgage repayments,"1,042",--,Port Pirie Region
Households where mortgage repayments are less than 30% of household income,--,94.3,Port Pirie Region
Households with mortgage repayments greater than 30% of household income,--,5.7,Port Pirie Region
Median mortgage repayments,"1,127",--,Kadina
Households where mortgage repayments are less than 30% of household income,--,94.0,Kadina
Households with mortgage repayments greater than 30% of household income,--,6.0,Kadina
Median mortgage repayments,"1,192",--,Moonta
Households where mortgage repayments are less than 30% of household income,--,94.5,Moonta
Households with mortgage repayments greater than 30% of household income,--,5.5,Moonta
Median mortgage repayments,"1,196",--,Wallaroo
Households where mortgage repayments are less than 30% of household income,--,94.7,Wallaroo
Households with mortgage repayments greater than 30% of household income,--,5.3,Wallaroo
Median mortgage repayments,"1,000",--,Yorke Peninsula - North
Households where mortgage repayments are less than 30% of household income,--,96.4,Yorke Peninsula - North
Households with mortgage repayments greater than 30% of household income,--,3.6,Yorke Peninsula - North
Median mortgage repayments,"1,000",--,Yorke Peninsula - South
Households where mortgage repayments are less than 30% of household income,--,95.8,Yorke Peninsula - South
Households with mortgage repayments greater than 30% of household income,--,4.2,Yorke Peninsula - South
Median mortgage repayments,"1,300",--,Ceduna
Households where mortgage repayments are less than 30% of household income,--,96.6,Ceduna
Households with mortgage repayments greater than 30% of household income,--,3.4,Ceduna
Median mortgage repayments,"1,200",--,Eyre Peninsula
Households where mortgage repayments are less than 30% of household income,--,95.1,Eyre Peninsula
Households with mortgage repayments greater than 30% of household income,--,4.9,Eyre Peninsula
Median mortgage repayments,910,--,Kimba - Cleve - Franklin Harbour
Households where mortgage repayments are less than 30% of household income,--,97.2,Kimba - Cleve - Franklin Harbour
Households with mortgage repayments greater than 30% of household income,--,2.8,Kimba - Cleve - Franklin Harbour
Median mortgage repayments,800,--,Le Hunte - Elliston
Households where mortgage repayments are less than 30% of household income,--,96.3,Le Hunte - Elliston
Households with mortgage repayments greater than 30% of household income,--,3.7,Le Hunte - Elliston
Median mortgage repayments,"1,317",--,Port Lincoln
Households where mortgage repayments are less than 30% of household income,--,94.6,Port Lincoln
Households with mortgage repayments greater than 30% of household income,--,5.4,Port Lincoln
Median mortgage repayments,"1,083",--,West Coast (SA)
Households where mortgage repayments are less than 30% of household income,--,96.1,West Coast (SA)
Households with mortgage repayments greater than 30% of household income,--,3.9,West Coast (SA)
Median mortgage repayments,"1,235",--,Whyalla
Households where mortgage repayments are less than 30% of household income,--,95.6,Whyalla
Households with mortgage repayments greater than 30% of household income,--,4.4,Whyalla
Median mortgage repayments,0,--,APY Lands
Households where mortgage repayments are less than 30% of household income,--,100.0,APY Lands
Households with mortgage repayments greater than 30% of household income,--,0.0,APY Lands
Median mortgage repayments,556,--,Coober Pedy
Households where mortgage repayments are less than 30% of household income,--,98.1,Coober Pedy
Households with mortgage repayments greater than 30% of household income,--,1.9,Coober Pedy
Median mortgage repayments,950,--,Quorn - Lake Gilles
Households where mortgage repayments are less than 30% of household income,--,95.9,Quorn - Lake Gilles
Households with mortgage repayments greater than 30% of household income,--,4.1,Quorn - Lake Gilles
Median mortgage repayments,645,--,Outback
Households where mortgage repayments are less than 30% of household income,--,98.9,Outback
Households with mortgage repayments greater than 30% of household income,--,1.1,Outback
Median mortgage repayments,"1,213",--,Port Augusta
Households where mortgage repayments are less than 30% of household income,--,96.2,Port Augusta
Households with mortgage repayments greater than 30% of household income,--,3.8,Port Augusta
Median mortgage repayments,"2,000",--,Roxby Downs
Households where mortgage repayments are less than 30% of household income,--,96.9,Roxby Downs
Households with mortgage repayments greater than 30% of household income,--,3.1,Roxby Downs
Median mortgage repayments,"1,213",--,Goolwa - Port Elliot
Households where mortgage repayments are less than 30% of household income,--,94.2,Goolwa - Port Elliot
Households with mortgage repayments greater than 30% of household income,--,5.8,Goolwa - Port Elliot
Median mortgage repayments,"1,083",--,Kangaroo Island
Households where mortgage repayments are less than 30% of household income,--,92.4,Kangaroo Island
Households with mortgage repayments greater than 30% of household income,--,7.6,Kangaroo Island
Median mortgage repayments,"1,517",--,Strathalbyn
Households where mortgage repayments are less than 30% of household income,--,93.2,Strathalbyn
Households with mortgage repayments greater than 30% of household income,--,6.8,Strathalbyn
Median mortgage repayments,"1,500",--,Strathalbyn Region
Households where mortgage repayments are less than 30% of household income,--,89.0,Strathalbyn Region
Households with mortgage repayments greater than 30% of household income,--,11.0,Strathalbyn Region
Median mortgage repayments,"1,287",--,Victor Harbor
Households where mortgage repayments are less than 30% of household income,--,94.8,Victor Harbor
Households with mortgage repayments greater than 30% of household income,--,5.2,Victor Harbor
Median mortgage repayments,"1,300",--,Yankalilla
Households where mortgage repayments are less than 30% of household income,--,91.4,Yankalilla
Households with mortgage repayments greater than 30% of household income,--,8.6,Yankalilla
Median mortgage repayments,"1,300",--,Grant
Households where mortgage repayments are less than 30% of household income,--,92.8,Grant
Households with mortgage repayments greater than 30% of household income,--,7.2,Grant
Median mortgage repayments,"1,083",--,Kingston - Robe
Households where mortgage repayments are less than 30% of household income,--,95.1,Kingston - Robe
Households with mortgage repayments greater than 30% of household income,--,4.9,Kingston - Robe
Median mortgage repayments,975,--,Millicent
Households where mortgage repayments are less than 30% of household income,--,95.9,Millicent
Households with mortgage repayments greater than 30% of household income,--,4.1,Millicent
Median mortgage repayments,"1,105",--,Naracoorte
Households where mortgage repayments are less than 30% of household income,--,95.5,Naracoorte
Households with mortgage repayments greater than 30% of household income,--,4.5,Naracoorte
Median mortgage repayments,867,--,Naracoorte Region
Households where mortgage repayments are less than 30% of household income,--,96.0,Naracoorte Region
Households with mortgage repayments greater than 30% of household income,--,4.0,Naracoorte Region
Median mortgage repayments,867,--,Penola
Households where mortgage repayments are less than 30% of household income,--,95.8,Penola
Households with mortgage repayments greater than 30% of household income,--,4.2,Penola
Median mortgage repayments,975,--,Tatiara
Households where mortgage repayments are less than 30% of household income,--,95.1,Tatiara
Households with mortgage repayments greater than 30% of household income,--,4.9,Tatiara
Median mortgage repayments,992,--,Wattle Range
Households where mortgage repayments are less than 30% of household income,--,94.7,Wattle Range
Households with mortgage repayments greater than 30% of household income,--,5.3,Wattle Range
Median mortgage repayments,"1,200",--,Mount Gambier - East
Households where mortgage repayments are less than 30% of household income,--,95.2,Mount Gambier - East
Households with mortgage repayments greater than 30% of household income,--,4.8,Mount Gambier - East
Median mortgage repayments,"1,192",--,Mount Gambier - West
Households where mortgage repayments are less than 30% of household income,--,96.1,Mount Gambier - West
Households with mortgage repayments greater than 30% of household income,--,3.9,Mount Gambier - West
Median mortgage repayments,"1,083",--,Barmera
Households where mortgage repayments are less than 30% of household income,--,94.5,Barmera
Households with mortgage repayments greater than 30% of household income,--,5.5,Barmera
Median mortgage repayments,"1,083",--,Berri
Households where mortgage repayments are less than 30% of household income,--,96.5,Berri
Households with mortgage repayments greater than 30% of household income,--,3.5,Berri
Median mortgage repayments,650,--,Karoonda - Lameroo
Households where mortgage repayments are less than 30% of household income,--,96.7,Karoonda - Lameroo
Households with mortgage repayments greater than 30% of household income,--,3.3,Karoonda - Lameroo
Median mortgage repayments,"1,083",--,Loxton
Households where mortgage repayments are less than 30% of household income,--,95.6,Loxton
Households with mortgage repayments greater than 30% of household income,--,4.4,Loxton
Median mortgage repayments,910,--,Loxton Region
Households where mortgage repayments are less than 30% of household income,--,95.8,Loxton Region
Households with mortgage repayments greater than 30% of household income,--,4.2,Loxton Region
Median mortgage repayments,"1,083",--,Mannum
Households where mortgage repayments are less than 30% of household income,--,93.1,Mannum
Households with mortgage repayments greater than 30% of household income,--,6.9,Mannum
Median mortgage repayments,"1,170",--,Murray Bridge
Households where mortgage repayments are less than 30% of household income,--,94.5,Murray Bridge
Households with mortgage repayments greater than 30% of household income,--,5.5,Murray Bridge
Median mortgage repayments,"1,200",--,Murray Bridge Region
Households where mortgage repayments are less than 30% of household income,--,92.8,Murray Bridge Region
Households with mortgage repayments greater than 30% of household income,--,7.2,Murray Bridge Region
Median mortgage repayments,991,--,Renmark
Households where mortgage repayments are less than 30% of household income,--,96.3,Renmark
Households with mortgage repayments greater than 30% of household income,--,3.7,Renmark
Median mortgage repayments,"1,083",--,Renmark Region
Households where mortgage repayments are less than 30% of household income,--,92.7,Renmark Region
Households with mortgage repayments greater than 30% of household income,--,7.3,Renmark Region
Median mortgage repayments,867,--,The Coorong
Households where mortgage repayments are less than 30% of household income,--,94.7,The Coorong
Households with mortgage repayments greater than 30% of household income,--,5.3,The Coorong
Median mortgage repayments,915,--,Waikerie
Households where mortgage repayments are less than 30% of household income,--,95.2,Waikerie
Households with mortgage repayments greater than 30% of household income,--,4.8,Waikerie
Median mortgage repayments,"1,800",--,Augusta
Households where mortgage repayments are less than 30% of household income,--,92.2,Augusta
Households with mortgage repayments greater than 30% of household income,--,7.8,Augusta
Median mortgage repayments,"1,800",--,Busselton
Households where mortgage repayments are less than 30% of household income,--,92.5,Busselton
Households with mortgage repayments greater than 30% of household income,--,7.5,Busselton
Median mortgage repayments,"2,000",--,Busselton Region
Households where mortgage repayments are less than 30% of household income,--,91.2,Busselton Region
Households with mortgage repayments greater than 30% of household income,--,8.8,Busselton Region
Median mortgage repayments,"1,733",--,Margaret River
Households where mortgage repayments are less than 30% of household income,--,89.8,Margaret River
Households with mortgage repayments greater than 30% of household income,--,10.2,Margaret River
Median mortgage repayments,"1,887",--,Australind - Leschenault
Households where mortgage repayments are less than 30% of household income,--,90.9,Australind - Leschenault
Households with mortgage repayments greater than 30% of household income,--,9.1,Australind - Leschenault
Median mortgage repayments,"1,733",--,Capel
Households where mortgage repayments are less than 30% of household income,--,90.5,Capel
Households with mortgage repayments greater than 30% of household income,--,9.5,Capel
Median mortgage repayments,"1,517",--,College Grove - Carey Park
Households where mortgage repayments are less than 30% of household income,--,92.7,College Grove - Carey Park
Households with mortgage repayments greater than 30% of household income,--,7.3,College Grove - Carey Park
Median mortgage repayments,"1,517",--,Collie
Households where mortgage repayments are less than 30% of household income,--,94.4,Collie
Households with mortgage repayments greater than 30% of household income,--,5.6,Collie
Median mortgage repayments,"2,000",--,Dardanup
Households where mortgage repayments are less than 30% of household income,--,91.0,Dardanup
Households with mortgage repayments greater than 30% of household income,--,9.0,Dardanup
Median mortgage repayments,"1,820",--,Eaton - Pelican Point
Households where mortgage repayments are less than 30% of household income,--,91.4,Eaton - Pelican Point
Households with mortgage repayments greater than 30% of household income,--,8.6,Eaton - Pelican Point
Median mortgage repayments,"1,733",--,Harvey
Households where mortgage repayments are less than 30% of household income,--,93.2,Harvey
Households with mortgage repayments greater than 30% of household income,--,6.8,Harvey
Median mortgage repayments,"1,625",--,East Bunbury - Glen Iris
Households where mortgage repayments are less than 30% of household income,--,92.8,East Bunbury - Glen Iris
Households with mortgage repayments greater than 30% of household income,--,7.2,East Bunbury - Glen Iris
Median mortgage repayments,"1,636",--,Waroona
Households where mortgage repayments are less than 30% of household income,--,92.3,Waroona
Households with mortgage repayments greater than 30% of household income,--,7.7,Waroona
Median mortgage repayments,"1,950",--,Dalyellup
Households where mortgage repayments are less than 30% of household income,--,90.1,Dalyellup
Households with mortgage repayments greater than 30% of household income,--,9.9,Dalyellup
Median mortgage repayments,"2,058",--,Gelorup - Stratham
Households where mortgage repayments are less than 30% of household income,--,93.5,Gelorup - Stratham
Households with mortgage repayments greater than 30% of household income,--,6.5,Gelorup - Stratham
Median mortgage repayments,"1,733",--,South Bunbury - Bunbury
Households where mortgage repayments are less than 30% of household income,--,94.8,South Bunbury - Bunbury
Households with mortgage repayments greater than 30% of household income,--,5.2,South Bunbury - Bunbury
Median mortgage repayments,"1,443",--,Withers - Usher
Households where mortgage repayments are less than 30% of household income,--,92.0,Withers - Usher
Households with mortgage repayments greater than 30% of household income,--,8.0,Withers - Usher
Median mortgage repayments,"1,500",--,Bridgetown - Boyup Brook
Households where mortgage repayments are less than 30% of household income,--,92.5,Bridgetown - Boyup Brook
Households with mortgage repayments greater than 30% of household income,--,7.5,Bridgetown - Boyup Brook
Median mortgage repayments,"1,541",--,Donnybrook - Balingup
Households where mortgage repayments are less than 30% of household income,--,91.8,Donnybrook - Balingup
Households with mortgage repayments greater than 30% of household income,--,8.2,Donnybrook - Balingup
Median mortgage repayments,"1,300",--,Manjimup
Households where mortgage repayments are less than 30% of household income,--,94.0,Manjimup
Households with mortgage repayments greater than 30% of household income,--,6.0,Manjimup
Median mortgage repayments,"1,300",--,Pemberton
Households where mortgage repayments are less than 30% of household income,--,93.3,Pemberton
Households with mortgage repayments greater than 30% of household income,--,6.7,Pemberton
Median mortgage repayments,"2,000",--,Dawesville - Bouvard
Households where mortgage repayments are less than 30% of household income,--,90.1,Dawesville - Bouvard
Households with mortgage repayments greater than 30% of household income,--,9.9,Dawesville - Bouvard
Median mortgage repayments,"1,863",--,Falcon - Wannanup
Households where mortgage repayments are less than 30% of household income,--,93.3,Falcon - Wannanup
Households with mortgage repayments greater than 30% of household income,--,6.7,Falcon - Wannanup
Median mortgage repayments,"1,517",--,Greenfields
Households where mortgage repayments are less than 30% of household income,--,91.8,Greenfields
Households with mortgage repayments greater than 30% of household income,--,8.2,Greenfields
Median mortgage repayments,"1,950",--,Halls Head - Erskine
Households where mortgage repayments are less than 30% of household income,--,93.1,Halls Head - Erskine
Households with mortgage repayments greater than 30% of household income,--,6.9,Halls Head - Erskine
Median mortgage repayments,"1,500",--,Mandurah
Households where mortgage repayments are less than 30% of household income,--,95.7,Mandurah
Households with mortgage repayments greater than 30% of household income,--,4.3,Mandurah
Median mortgage repayments,"1,921",--,Mandurah - East
Households where mortgage repayments are less than 30% of household income,--,92.1,Mandurah - East
Households with mortgage repayments greater than 30% of household income,--,7.9,Mandurah - East
Median mortgage repayments,"2,000",--,Mandurah - North
Households where mortgage repayments are less than 30% of household income,--,90.1,Mandurah - North
Households with mortgage repayments greater than 30% of household income,--,9.9,Mandurah - North
Median mortgage repayments,"1,625",--,Mandurah - South
Households where mortgage repayments are less than 30% of household income,--,93.0,Mandurah - South
Households with mortgage repayments greater than 30% of household income,--,7.0,Mandurah - South
Median mortgage repayments,"1,811",--,Pinjarra
Households where mortgage repayments are less than 30% of household income,--,91.3,Pinjarra
Households with mortgage repayments greater than 30% of household income,--,8.7,Pinjarra
Median mortgage repayments,"3,033",--,City Beach
Households where mortgage repayments are less than 30% of household income,--,93.4,City Beach
Households with mortgage repayments greater than 30% of household income,--,6.6,City Beach
Median mortgage repayments,"2,500",--,Claremont (WA)
Households where mortgage repayments are less than 30% of household income,--,94.9,Claremont (WA)
Households with mortgage repayments greater than 30% of household income,--,5.1,Claremont (WA)
Median mortgage repayments,"3,250",--,Cottesloe
Households where mortgage repayments are less than 30% of household income,--,94.1,Cottesloe
Households with mortgage repayments greater than 30% of household income,--,5.9,Cottesloe
Median mortgage repayments,"3,000",--,Floreat
Households where mortgage repayments are less than 30% of household income,--,92.2,Floreat
Households with mortgage repayments greater than 30% of household income,--,7.8,Floreat
Median mortgage repayments,"2,700",--,Mosman Park - Peppermint Grove
Households where mortgage repayments are less than 30% of household income,--,93.8,Mosman Park - Peppermint Grove
Households with mortgage repayments greater than 30% of household income,--,6.2,Mosman Park - Peppermint Grove
Median mortgage repayments,"3,300",--,Nedlands - Dalkeith - Crawley
Households where mortgage repayments are less than 30% of household income,--,94.5,Nedlands - Dalkeith - Crawley
Households with mortgage repayments greater than 30% of household income,--,5.5,Nedlands - Dalkeith - Crawley
Median mortgage repayments,"3,000",--,Swanbourne - Mount Claremont
Households where mortgage repayments are less than 30% of household income,--,93.2,Swanbourne - Mount Claremont
Households with mortgage repayments greater than 30% of household income,--,6.8,Swanbourne - Mount Claremont
Median mortgage repayments,"2,427",--,Mount Hawthorn - Leederville
Households where mortgage repayments are less than 30% of household income,--,94.3,Mount Hawthorn - Leederville
Households with mortgage repayments greater than 30% of household income,--,5.7,Mount Hawthorn - Leederville
Median mortgage repayments,"2,167",--,Mount Lawley - Inglewood
Households where mortgage repayments are less than 30% of household income,--,94.1,Mount Lawley - Inglewood
Households with mortgage repayments greater than 30% of household income,--,5.9,Mount Lawley - Inglewood
Median mortgage repayments,"2,400",--,North Perth
Households where mortgage repayments are less than 30% of household income,--,93.5,North Perth
Households with mortgage repayments greater than 30% of household income,--,6.5,North Perth
Median mortgage repayments,"2,167",--,Perth City
Households where mortgage repayments are less than 30% of household income,--,95.1,Perth City
Households with mortgage repayments greater than 30% of household income,--,4.9,Perth City
Median mortgage repayments,"2,500",--,Subiaco - Shenton Park
Households where mortgage repayments are less than 30% of household income,--,94.9,Subiaco - Shenton Park
Households with mortgage repayments greater than 30% of household income,--,5.1,Subiaco - Shenton Park
Median mortgage repayments,"2,058",--,Wembley - West Leederville - Glendalough
Households where mortgage repayments are less than 30% of household income,--,93.9,Wembley - West Leederville - Glendalough
Households with mortgage repayments greater than 30% of household income,--,6.1,Wembley - West Leederville - Glendalough
Median mortgage repayments,"1,922",--,Bassendean - Eden Hill - Ashfield
Households where mortgage repayments are less than 30% of household income,--,92.2,Bassendean - Eden Hill - Ashfield
Households with mortgage repayments greater than 30% of household income,--,7.8,Bassendean - Eden Hill - Ashfield
Median mortgage repayments,"2,117",--,Bayswater - Embleton - Bedford
Households where mortgage repayments are less than 30% of household income,--,92.5,Bayswater - Embleton - Bedford
Households with mortgage repayments greater than 30% of household income,--,7.5,Bayswater - Embleton - Bedford
Median mortgage repayments,"1,950",--,Maylands
Households where mortgage repayments are less than 30% of household income,--,93.4,Maylands
Households with mortgage repayments greater than 30% of household income,--,6.6,Maylands
Median mortgage repayments,"1,900",--,Morley
Households where mortgage repayments are less than 30% of household income,--,92.1,Morley
Households with mortgage repayments greater than 30% of household income,--,7.9,Morley
Median mortgage repayments,"1,950",--,Noranda
Households where mortgage repayments are less than 30% of household income,--,92.0,Noranda
Households with mortgage repayments greater than 30% of household income,--,8.0,Noranda
Median mortgage repayments,"1,950",--,Chidlow
Households where mortgage repayments are less than 30% of household income,--,88.3,Chidlow
Households with mortgage repayments greater than 30% of household income,--,11.7,Chidlow
Median mortgage repayments,"2,167",--,Glen Forrest - Darlington
Households where mortgage repayments are less than 30% of household income,--,91.7,Glen Forrest - Darlington
Households with mortgage repayments greater than 30% of household income,--,8.3,Glen Forrest - Darlington
Median mortgage repayments,"2,000",--,Helena Valley - Koongamia
Households where mortgage repayments are less than 30% of household income,--,90.6,Helena Valley - Koongamia
Households with mortgage repayments greater than 30% of household income,--,9.4,Helena Valley - Koongamia
Median mortgage repayments,"2,000",--,Mundaring
Households where mortgage repayments are less than 30% of household income,--,89.6,Mundaring
Households with mortgage repayments greater than 30% of household income,--,10.4,Mundaring
Median mortgage repayments,"1,733",--,Swan View - Greenmount - Midvale
Households where mortgage repayments are less than 30% of household income,--,90.2,Swan View - Greenmount - Midvale
Households with mortgage repayments greater than 30% of household income,--,9.8,Swan View - Greenmount - Midvale
Median mortgage repayments,"1,780",--,Ballajura
Households where mortgage repayments are less than 30% of household income,--,87.0,Ballajura
Households with mortgage repayments greater than 30% of household income,--,13.0,Ballajura
Median mortgage repayments,"1,950",--,Beechboro
Households where mortgage repayments are less than 30% of household income,--,84.4,Beechboro
Households with mortgage repayments greater than 30% of household income,--,15.6,Beechboro
Median mortgage repayments,"2,000",--,Bullsbrook
Households where mortgage repayments are less than 30% of household income,--,84.6,Bullsbrook
Households with mortgage repayments greater than 30% of household income,--,15.4,Bullsbrook
Median mortgage repayments,"2,167",--,Ellenbrook
Households where mortgage repayments are less than 30% of household income,--,81.4,Ellenbrook
Households with mortgage repayments greater than 30% of household income,--,18.6,Ellenbrook
Median mortgage repayments,"2,100",--,Gidgegannup
Households where mortgage repayments are less than 30% of household income,--,90.0,Gidgegannup
Households with mortgage repayments greater than 30% of household income,--,10.0,Gidgegannup
Median mortgage repayments,"2,000",--,Hazelmere - Guildford
Households where mortgage repayments are less than 30% of household income,--,89.0,Hazelmere - Guildford
Households with mortgage repayments greater than 30% of household income,--,11.0,Hazelmere - Guildford
Median mortgage repayments,"1,950",--,Lockridge - Kiara
Households where mortgage repayments are less than 30% of household income,--,85.9,Lockridge - Kiara
Households with mortgage repayments greater than 30% of household income,--,14.1,Lockridge - Kiara
Median mortgage repayments,"1,733",--,Middle Swan - Herne Hill
Households where mortgage repayments are less than 30% of household income,--,90.8,Middle Swan - Herne Hill
Households with mortgage repayments greater than 30% of household income,--,9.2,Middle Swan - Herne Hill
Median mortgage repayments,"1,733",--,Midland - Guildford
Households where mortgage repayments are less than 30% of household income,--,92.6,Midland - Guildford
Households with mortgage repayments greater than 30% of household income,--,7.4,Midland - Guildford
Median mortgage repayments,"1,800",--,Stratton - Jane Brook
Households where mortgage repayments are less than 30% of household income,--,86.6,Stratton - Jane Brook
Households with mortgage repayments greater than 30% of household income,--,13.4,Stratton - Jane Brook
Median mortgage repayments,"2,297",--,The Vines
Households where mortgage repayments are less than 30% of household income,--,82.4,The Vines
Households with mortgage repayments greater than 30% of household income,--,17.6,The Vines
Median mortgage repayments,"1,900",--,Craigie - Beldon
Households where mortgage repayments are less than 30% of household income,--,89.7,Craigie - Beldon
Households with mortgage repayments greater than 30% of household income,--,10.3,Craigie - Beldon
Median mortgage repayments,"2,000",--,Currambine - Kinross
Households where mortgage repayments are less than 30% of household income,--,91.4,Currambine - Kinross
Households with mortgage repayments greater than 30% of household income,--,8.6,Currambine - Kinross
Median mortgage repayments,"2,167",--,Duncraig
Households where mortgage repayments are less than 30% of household income,--,93.2,Duncraig
Households with mortgage repayments greater than 30% of household income,--,6.8,Duncraig
Median mortgage repayments,"2,000",--,Greenwood - Warwick
Households where mortgage repayments are less than 30% of household income,--,91.4,Greenwood - Warwick
Households with mortgage repayments greater than 30% of household income,--,8.6,Greenwood - Warwick
Median mortgage repayments,"1,993",--,Heathridge - Connolly
Households where mortgage repayments are less than 30% of household income,--,91.0,Heathridge - Connolly
Households with mortgage repayments greater than 30% of household income,--,9.0,Heathridge - Connolly
Median mortgage repayments,"2,383",--,Hillarys
Households where mortgage repayments are less than 30% of household income,--,92.9,Hillarys
Households with mortgage repayments greater than 30% of household income,--,7.1,Hillarys
Median mortgage repayments,"2,750",--,Iluka - Burns Beach
Households where mortgage repayments are less than 30% of household income,--,89.1,Iluka - Burns Beach
Households with mortgage repayments greater than 30% of household income,--,10.9,Iluka - Burns Beach
Median mortgage repayments,"1,950",--,Joondalup - Edgewater
Households where mortgage repayments are less than 30% of household income,--,93.0,Joondalup - Edgewater
Households with mortgage repayments greater than 30% of household income,--,7.0,Joondalup - Edgewater
Median mortgage repayments,"2,000",--,Kingsley
Households where mortgage repayments are less than 30% of household income,--,93.0,Kingsley
Households with mortgage repayments greater than 30% of household income,--,7.0,Kingsley
Median mortgage repayments,"2,167",--,Mullaloo - Kallaroo
Households where mortgage repayments are less than 30% of household income,--,92.2,Mullaloo - Kallaroo
Households with mortgage repayments greater than 30% of household income,--,7.8,Mullaloo - Kallaroo
Median mortgage repayments,"2,200",--,Ocean Reef
Households where mortgage repayments are less than 30% of household income,--,93.0,Ocean Reef
Households with mortgage repayments greater than 30% of household income,--,7.0,Ocean Reef
Median mortgage repayments,"2,000",--,Padbury
Households where mortgage repayments are less than 30% of household income,--,91.5,Padbury
Households with mortgage repayments greater than 30% of household income,--,8.5,Padbury
Median mortgage repayments,"2,400",--,Sorrento - Marmion
Households where mortgage repayments are less than 30% of household income,--,94.1,Sorrento - Marmion
Households with mortgage repayments greater than 30% of household income,--,5.9,Sorrento - Marmion
Median mortgage repayments,"2,162",--,Woodvale
Households where mortgage repayments are less than 30% of household income,--,93.4,Woodvale
Households with mortgage repayments greater than 30% of household income,--,6.6,Woodvale
Median mortgage repayments,"1,950",--,Balcatta - Hamersley
Households where mortgage repayments are less than 30% of household income,--,92.5,Balcatta - Hamersley
Households with mortgage repayments greater than 30% of household income,--,7.5,Balcatta - Hamersley
Median mortgage repayments,"1,690",--,Balga - Mirrabooka
Households where mortgage repayments are less than 30% of household income,--,88.1,Balga - Mirrabooka
Households with mortgage repayments greater than 30% of household income,--,11.9,Balga - Mirrabooka
Median mortgage repayments,"2,000",--,Dianella
Households where mortgage repayments are less than 30% of household income,--,92.5,Dianella
Households with mortgage repayments greater than 30% of household income,--,7.5,Dianella
Median mortgage repayments,"2,208",--,Innaloo - Doubleview
Households where mortgage repayments are less than 30% of household income,--,93.1,Innaloo - Doubleview
Households with mortgage repayments greater than 30% of household income,--,6.9,Innaloo - Doubleview
Median mortgage repayments,"2,373",--,Karrinyup - Gwelup - Carine
Households where mortgage repayments are less than 30% of household income,--,93.7,Karrinyup - Gwelup - Carine
Households with mortgage repayments greater than 30% of household income,--,6.3,Karrinyup - Gwelup - Carine
